암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxMzUxIzMxIyQyIyQzIyQwMCQzNjE0ODEjNjEjJDEjJDQjJDgz,2080자연이치과의원,치과의원,인천광역시,부평구,"인천광역시 부평구 아트센터로 38, 401호 (십정동, 동암진명프라자)",치과,2003-05-20
JDQ4MTg4MSM1MSMkMSMkMCMkNzIkNDgxMzUxIzUxIyQxIyQxIyQ4OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,2080치과의원,치과의원,서울특별시,송파구,"서울특별시 송파구 백제고분로 365, 지하1층 105호 (석촌동, 태문빌딩)",치과,2000-04-22
JDQ4MTg4MSM1MSMkMSMkMCMkNzIkNDgxMTkxIzQxIyQyIyQ3IyQwMCQ0NjE0ODEjNjEjJDEjJDAjJDgz,2080치과의원,치과의원,서울특별시,강북구,"서울특별시 강북구 솔샘로 231, 2층 (미아동)",치과,2017-04-27
JDQ4MTAxMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQ3IyQxMyQzNjEwMDIjNTEjJDEjJDIjJDgz,2080치과의원,치과의원,부산광역시,해운대구,"부산광역시 해운대구 아랫반송로 12, 2층 (반송동, 서울메디컬센터)",치과,2011-06-02
JDQ4MTAxMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ4OSQzNjE4MzIjNjEjJDEjJDAjJDgz,2080치과의원,치과의원,부산광역시,북구,"부산광역시 북구 시랑로 75, 2층 (구포동)",치과,2019-10-04
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMTkxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,2080치과의원,치과의원,인천광역시,계양구,"인천광역시 계양구 봉오대로477번길 19, 태산상가 501호 (효성동)",치과,1999-02-22
JDQ4MTYyMiM3MSMkMSMkMCMkNzIkMzgxMzUxIzUxIyQxIyQxIyQ5MiQyNjE0ODEjNjEjJDEjJDQjJDgz,2080치과의원,치과의원,광주광역시,광산구,"광주광역시 광산구 수등로 258, 301호 (신가동)",치과,2001-10-19
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDAjJDgz,2080치과의원,치과의원,경상북도,포항시 북구,경상북도 포항시 북구 포스코대로 279 (죽도동),치과,2003-12-02
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ4MiQzNjEyMjIjNDEjJDEjJDgjJDgz,210정형외과의원,의원,서울특별시,양천구,"서울특별시 양천구 목동동로 150, 목동 블루스퀘어 2층 일부,4~6층 (신정동)",정형외과,2021-01-12
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQ4OSQyNjEyMjIjODEjJDEjJDYjJDgz,21C 세계로약국,약국,서울특별시,강서구,"서울특별시 강서구 화곡로 173, 1층 (화곡동)",해당사항없음,2006-02-07
